"Type"	"Width"	"Height"	"X"	"Y"	"Xcoords"	"Ycoords"
"java.awt.geom.Path2D$Double"	"560.0"	"391.0"	"361.0"	"158.0"	"[620, 619, 618, 618, 617, 617, 617, 616, 616, 615, 614, 614, 613, 613, 612, 612, 611, 609, 609, 608, 608, 608, 607, 607, 606, 605, 604, 599, 592, 590, 581, 576, 569, 565, 560, 541, 537, 532, 529, 527, 523, 516, 508, 499, 497, 495, 492, 490, 488, 486, 484, 482, 480, 478, 477, 472, 470, 468, 465, 458, 455, 448, 445, 443, 438, 434, 433, 430, 429, 428, 428, 427, 427, 426, 425, 424, 422, 420, 419, 417, 415, 409, 406, 404, 398, 394, 390, 383, 378, 377, 375, 373, 372, 371, 370, 369, 367, 366, 365, 364, 362, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361, 361, 362, 363, 365, 370, 370, 372, 375, 377, 379, 381, 384, 386, 392, 395, 400, 408, 414, 419, 425, 438, 445, 458, 670, 677, 706, 720, 729, 733, 744, 750, 756, 764, 802, 810, 813, 819, 831, 839, 841, 845, 848, 852, 872, 875, 878, 883, 887, 891, 895, 899, 909, 913, 915, 918, 918, 919, 920, 920, 921, 921, 921, 921, 921, 921, 921, 921, 921, 921, 919, 917, 913, 907, 898, 889, 876, 852, 846, 841, 832, 823, 822, 822, 822, 821, 820, 819, 819, 818, 817, 817, 815, 815, 815, 815, 814, 813, 813, 812, 811, 811, 810, 805, 802, 795, 793, 787, 784, 782, 776, 774, 767, 747, 741, 720, 718, 717, 707, 703, 698, 692, 689, 688, 686, 685, 681, 680, 680, 679, 676, 675, 673, 672, 670, 670, 669, 668, 668, 667, 665, 665, 664, 664, 664, 664, 664, 664, 664, 664, 664, 663, 662, 662, 662, 662, 662, 660, 660, 659, 659, 659, 659, 659, 659, 658, 658, 656, 656, 656, 656, 656, 655, 655, 655, 654, 654, 653, 653, 651, 651, 651, 651, 651, 651, 651, 650, 650, 650, 650, 649, 649, 649, 649, 649, 649, 649, 649, 649, 649, 649, 649, 649, 649, 649, 649, 649, 649, 649, 649, 649, 647, 647, 647, 647, 646, 645, 643, 642, 640, 637, 635, 633, 629, 628, 627, 625, 623, 622]"	"[159, 160, 162, 163, 166, 167, 168, 169, 170, 172, 174, 175, 176, 178, 180, 181, 183, 184, 185, 187, 188, 189, 190, 192, 193, 195, 197, 373, 373, 374, 374, 375, 377, 377, 378, 378, 379, 380, 380, 381, 382, 382, 383, 383, 384, 384, 385, 387, 387, 388, 388, 389, 389, 391, 391, 392, 393, 394, 395, 397, 398, 402, 403, 406, 411, 417, 420, 424, 426, 427, 428, 429, 430, 431, 432, 433, 436, 438, 438, 439, 441, 444, 446, 447, 451, 452, 453, 454, 456, 458, 461, 463, 464, 466, 467, 469, 472, 474, 478, 479, 484, 486, 489, 490, 491, 494, 495, 499, 502, 503, 505, 506, 507, 510, 511, 514, 519, 520, 521, 522, 524, 525, 527, 529, 529, 530, 533, 534, 536, 539, 540, 541, 546, 546, 549, 549, 548, 548, 547, 545, 544, 541, 539, 537, 536, 536, 532, 531, 529, 529, 527, 526, 523, 522, 521, 521, 519, 518, 514, 512, 509, 508, 507, 502, 501, 499, 496, 494, 491, 489, 485, 483, 478, 475, 472, 468, 466, 464, 460, 459, 458, 455, 454, 453, 451, 450, 450, 448, 448, 447, 447, 445, 445, 444, 443, 442, 442, 441, 440, 437, 432, 430, 428, 424, 423, 418, 417, 414, 410, 408, 406, 403, 402, 401, 396, 394, 390, 388, 388, 387, 387, 386, 386, 384, 384, 383, 383, 382, 382, 381, 379, 379, 378, 378, 377, 377, 376, 376, 375, 374, 373, 373, 371, 370, 369, 369, 368, 367, 366, 363, 362, 357, 355, 352, 349, 344, 341, 339, 334, 330, 325, 321, 318, 313, 311, 308, 305, 304, 298, 297, 293, 291, 290, 289, 287, 286, 285, 283, 280, 279, 276, 275, 274, 269, 266, 262, 258, 256, 252, 249, 246, 244, 243, 241, 240, 239, 234, 232, 231, 228, 227, 226, 225, 223, 222, 219, 217, 212, 210, 208, 207, 206, 205, 204, 203, 200, 199, 197, 196, 193, 192, 191, 189, 188, 187, 185, 184, 181, 178, 177, 175, 170, 168, 167, 163, 161, 160, 160, 159, 158]"
"java.awt.geom.Rectangle2D$Double"	"94.0"	"37.0"	"928.0"	"340.0"	"[928, 1022, 1022]"	"[377, 377, 340]"
"java.awt.geom.Rectangle2D$Double"	"42.0"	"213.0"	"1098.0"	"190.0"	"[1098, 1140, 1140]"	"[403, 403, 190]"
"java.awt.geom.Rectangle2D$Double"	"278.0"	"303.0"	"933.0"	"83.0"	"[933, 1211, 1211]"	"[386, 386, 83]"
"java.awt.geom.Rectangle2D$Double"	"134.0"	"285.0"	"684.0"	"85.0"	"[684, 818, 818]"	"[370, 370, 85]"
"java.awt.geom.Rectangle2D$Double"	"40.0"	"156.0"	"796.0"	"223.0"	"[796, 836, 836]"	"[379, 379, 223]"
"java.awt.geom.Rectangle2D$Double"	"146.0"	"175.0"	"444.0"	"176.0"	"[444, 590, 590]"	"[351, 351, 176]"
"java.awt.geom.Rectangle2D$Double"	"68.0"	"36.0"	"424.0"	"331.0"	"[424, 492, 492]"	"[367, 367, 331]"
"java.awt.geom.Rectangle2D$Double"	"111.0"	"60.0"	"201.0"	"322.0"	"[201, 312, 312]"	"[382, 382, 322]"
"java.awt.geom.Rectangle2D$Double"	"39.0"	"161.0"	"377.0"	"210.0"	"[377, 416, 416]"	"[371, 371, 210]"
"java.awt.geom.Rectangle2D$Double"	"286.0"	"229.0"	"67.0"	"80.0"	"[67, 353, 353]"	"[309, 309, 80]"
